"","BI_COMPOSITE_SNV_SBS1_P","BI_COMPOSITE_SNV_SBS2_P","BI_COMPOSITE_SNV_SBS5_P","BI_COMPOSITE_SNV_SBS8_P","BI_COMPOSITE_SNV_SBS12_P","BI_COMPOSITE_SNV_SBS22_P","BI_COMPOSITE_SNV_SBS28_P","BI_COMPOSITE_SNV_SBS30_P","BI_COMPOSITE_SNV_SBS36_P","BI_COMPOSITE_SNV_SBS39_P","BI_COMPOSITE_SNV_SBS40_P","BI_COMPOSITE_SNV_SBS64_P","BI_COMPOSITE_SNV_SBS70_P","BI_COMPOSITE_SNV_SBS77_P"
"prob",1,1,0.986013986013986,0.93006993006993,0.965034965034965,1,1,1,0.993006993006993,1,1,0.909090909090909,0.867132867132867,0.79020979020979
"mean",2.35310604960697,2.2730176130485,2.66107730960266,2.52683311182914,2.55835360139932,2.28983105921081,2.28357632524216,2.67867968616806,2.42417880382592,2.9664432864941,2.96192549664441,1.60954483300254,2.39623382531628,1.83955451452794
"stdev",0.2493435519854,0.22921285042806,0.272422520257593,0.271942782904005,0.239776574917835,0.434858169116496,0.227588015713831,0.185678208268901,0.278148681699115,0.208186845231824,0.305469050184377,0.372525900204088,0.223907532813456,0.291767466886531
"prob",1,1,0.984,0.93,0.95,1,1,1,0.996,1,1,0.918,0.866,0.798
"mean",2.35968302595331,2.28109701674755,2.65728963621213,2.51617851688609,2.55804590196705,2.30441786040569,2.27573234495678,2.67434549515916,2.43196060802167,2.96816517713233,2.96528284510888,1.59809604347148,2.39853384876483,1.8573020320909
"stdev",0.255943291889721,0.230723917855529,0.27452683560674,0.27097937091316,0.248916932645469,0.431638403619773,0.228551570776768,0.187291778012937,0.278185033103442,0.207871371101232,0.32727921390426,0.374720168461752,0.218909514406175,0.294665446499184
"prob",0,0,0.00201398601398606,6.99300699300576e-05,0.015034965034965,0,0,0,-0.00299300699300697,0,0,-0.00890909090909098,0.00113286713286709,-0.00779020979020983
"mean",-0.00657697634634324,-0.00807940369905102,0.0037876733905291,0.0106545949430492,0.000307699432273711,-0.0145868011948789,0.00784398028537581,0.00433419100889809,-0.00778180419575714,-0.00172189063823147,-0.00335734846446956,0.0114487895310635,-0.00230002344854574,-0.0177475175629604
"stdev",-0.00659973990432117,-0.00151106742746906,-0.00210431534914707,0.000963411990845875,-0.00914035772763386,0.00321976549672282,-0.000963555062937604,-0.00161356974403609,-3.63514043270619e-05,0.000315474130592269,-0.0218101637198833,-0.00219426825766439,0.0049980184072812,-0.00289797961265315
